[-] inventory.dinkes.papuabaratprov.go.id    | IP Not Cached (Requires Active DNS Resolution)
[-] jdih-dprd.papuabaratprov.go.id           | IP Not Cached (Requires Active DNS Resolution)
[-] jdih.papuabaratprov.go.id                | IP Not Cached (Requires Active DNS Resolution)
[-] jurnal.papuabaratprov.go.id              | IP Not Cached (Requires Active DNS Resolution)
[-] kantorperwakilan.papuabaratprov.go.id    | IP Not Cached (Requires Active DNS Resolution)
[-] kasuari.papuabaratprov.go.id             | IP Not Cached (Requires Active DNS Resolution)
[-] kesbangpol.papuabaratprov.go.id          | IP Not Cached (Requires Active DNS Resolution)
[-] kitorang.papuabaratprov.go.id            | IP Not Cached (Requires Active DNS Resolution)
[-] kkpr.kitorang.papuabaratprov.go.id       | IP Not Cached (Requires Active DNS Resolution)
[-] kominfo.papuabaratprov.go.id             | IP Not Cached (Requires Active DNS Resolution)
[-] korpri.papuabaratprov.go.id              | IP Not Cached (Requires Active DNS Resolution)
[-] latihan-eplanning.papuabaratprov.go.id   | IP Not Cached (Requires Active DNS Resolution)
[-] latihan.jdih.papuabaratprov.go.id        | IP Not Cached (Requires Active DNS Resolution)
[!!!] lelang.papuabaratprov.go.id              | IP Not Cached (Requires Active DNS Resolution)
[-] lms.bpbj.papuabaratprov.go.id            | 103.100.27.121
[-] lms.bpsdm.papuabaratprov.go.id           | 103.100.27.121
[-] lms.bpsdmd.papuabaratprov.go.id          | IP Not Cached (Requires Active DNS Resolution)
[!!!] mail.adbang.papuabaratprov.go.id         | IP Not Cached (Requires Active DNS Resolution)
[-] mail.adpim.papuabaratprov.go.id          | IP Not Cached (Requires Active DNS Resolution)
[-] mail.bapedalda.papuabaratprov.go.id      | IP Not Cached (Requires Active DNS Resolution)
[-] mail.bapokting.papuabaratprov.go.id      | IP Not Cached (Requires Active DNS Resolution)
[-] mail.bappeda.papuabaratprov.go.id        | IP Not Cached (Requires Active DNS Resolution)
[-] mail.bappenda.papuabaratprov.go.id       | IP Not Cached (Requires Active DNS Resolution)
[-] mail.biroekonomi.papuabaratprov.go.id    | IP Not Cached (Requires Active DNS Resolution)
[-] mail.birohukum.papuabaratprov.go.id      | IP Not Cached (Requires Active DNS Resolution)
[-] mail.biroorganisasi.papuabaratprov.go.id | IP Not Cached (Requires Active DNS Resolution)
[-] mail.biropem.papuabaratprov.go.id        | IP Not Cached (Requires Active DNS Resolution)
[-] mail.biroumum.papuabaratprov.go.id       | IP Not Cached (Requires Active DNS Resolution)
[-] mail.bpbd.papuabaratprov.go.id           | IP Not Cached (Requires Active DNS Resolution)
[-] mail.bpkad.papuabaratprov.go.id          | IP Not Cached (Requires Active DNS Resolution)
[-] mail.bplp.papuabaratprov.go.id           | IP Not Cached (Requires Active DNS Resolution)
[-] mail.bpsdmd.papuabaratprov.go.id         | IP Not Cached (Requires Active DNS Resolution)
[-] mail.covid19.papuabaratprov.go.id        | IP Not Cached (Requires Active DNS Resolution)
[-] mail.dinkes.papuabaratprov.go.id         | IP Not Cached (Requires Active DNS Resolution)
[-] mail.dinkopukm.papuabaratprov.go.id      | IP Not Cached (Requires Active DNS Resolution)
